time_s,step,observation,action_pre_scale
1776857418.140852,1,"[0.05044117569923401,-0.053483687341213226,-0.9972938299179077,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010718436911702156,-5.573089947574772e-05,-0.011274890042841434,0.0030151077080518007,-0.004795147571712732,0.007288624532520771,-0.012087912298738956,-0.05238095298409462,-0.012087912298738956,-0.04432234540581703,0.018315019086003304,0.0,-0.028205128386616707,-0.02014652080833912,-0.012087912298738956,0.02014652080833912,0.006105006206780672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0646970346570015,0.06566369533538818,0.34940391778945923,-0.4905504882335663,0.13566897809505463,-0.08396778255701065,0.04641328379511833,0.06465240567922592,-0.22083280980587006,0.04201748967170715,-0.47520220279693604,-0.061009593307971954]"
1776857418.161253,2,"[0.0504264310002327,-0.053501203656196594,-0.9972938299179077,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.01994408294558525,0.0009627611143514514,-0.010718436911702156,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004795147571712732,0.007288624532520771,-0.004029304254800081,-0.02014652080833912,-0.028205128386616707,-0.08461538702249527,-0.01682732068002224,-0.022932330146431923,-0.036263737827539444,0.02014652080833912,0.04432234540581703,0.05120493844151497,0.012210012413561344,0.018315019086003304,0.0646970346570015,0.06566369533538818,0.34940391778945923,-0.4905504882335663,0.13566897809505463,-0.08396778255701065,0.04641328379511833,0.06465240567922592,-0.22083280980587006,0.04201748967170715,-0.47520220279693604,-0.061009593307971954,0.0,0.0,0.0]","[-0.015556387603282928,0.08586713671684265,0.4508988857269287,-0.7792375087738037,0.02949605882167816,-0.10949301719665527,0.06070006266236305,-0.03225472941994667,-0.5107499957084656,0.35265666246414185,-0.515759289264679,-0.18777316808700562]"
1776857418.183507,3,"[0.05066845566034317,-0.053741246461868286,-0.9972684979438782,0.005340407602488995,-0.008774803951382637,0.0047460258938372135,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010718436911702156,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007480430416762829,0.004029304254800081,0.0372929722070694,0.013117136433720589,-0.02014652080833912,0.035068951547145844,0.028963949531316757,-0.036263737827539444,-0.02014652080833912,-0.028205128386616707,-0.08461538702249527,-0.02285895124077797,0.02896394580602646,-0.015556387603282928,0.08586713671684265,0.4508988857269287,-0.7792375087738037,0.02949605882167816,-0.10949301719665527,0.06070006266236305,-0.03225472941994667,-0.5107499957084656,0.35265666246414185,-0.515759289264679,-0.18777316808700562,0.0,0.0,0.0]","[-0.08026400953531265,0.17166531085968018,0.24898359179496765,-1.019172191619873,-0.34742212295532227,-0.21718941628932953,0.03884631395339966,-0.27352532744407654,-0.9728646278381348,0.6045452356338501,-0.7308980226516724,-0.42263105511665344]"
1776857418.201338,4,"[0.05080927908420563,-0.05410449206829071,-0.9972416758537292,0.005340407602488995,-0.009158415719866753,0.0047460258938372135,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010718436911702156,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004795147571712732,0.007288624532520771,-0.012087912298738956,-0.038712576031684875,0.004029304254800081,-0.10073260217905045,0.012210012413561344,-0.018315019086003304,-0.012087912298738956,-0.028205128386616707,-0.05238095298409462,0.11684981733560562,0.005253736395388842,0.01306129526346922,-0.08026400953531265,0.17166531085968018,0.24898359179496765,-1.019172191619873,-0.34742212295532227,-0.21718941628932953,0.03884631395339966,-0.27352532744407654,-0.9728646278381348,0.6045452356338501,-0.7308980226516724,-0.42263105511665344,0.0,0.0,0.0]","[-0.13043680787086487,0.35265761613845825,-0.14011280238628387,-1.305814266204834,-0.7341602444648743,-0.31468841433525085,-0.061881378293037415,-0.6707777976989746,-1.4932197332382202,0.6572238206863403,-1.0323799848556519,-0.7042701840400696]"
1776857418.220705,5,"[0.05095710605382919,-0.054462119936943054,-0.997214674949646,0.005340407602488995,-0.009158415719866753,0.0047460258938372135,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007480430416762829,-0.02014652080833912,-0.012087912298738956,-0.012087912298738956,0.08461538702249527,0.012210012413561344,0.006105006206780672,0.013485709205269814,-0.02014652080833912,0.10073260217905045,-0.05238095298409462,-0.0047282022424042225,0.04746323451399803,-0.13043680787086487,0.35265761613845825,-0.14011280238628387,-1.305814266204834,-0.7341602444648743,-0.31468841433525085,-0.061881378293037415,-0.6707777976989746,-1.4932197332382202,0.6572238206863403,-1.0323799848556519,-0.7042701840400696,0.0,0.0,0.0]","[-0.23994126915931702,0.573742151260376,-0.6040588617324829,-1.508866310119629,-1.0643583536148071,-0.3505830466747284,-0.17350716888904572,-1.1089876890182495,-1.8591588735580444,0.41722986102104187,-1.1066614389419556,-0.9182204604148865]"
1776857418.240387,6,"[0.05124358832836151,-0.05492572486400604,-0.9971746206283569,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007096818648278713,-0.012087912298738956,0.028205128386616707,0.010509471409022808,-0.10073260217905045,-0.012210012413561344,0.006105006206780672,0.05238095298409462,0.004029304254800081,-0.04432234540581703,0.036263737827539444,-0.012210012413561344,-0.015742067247629166,-0.23994126915931702,0.573742151260376,-0.6040588617324829,-1.508866310119629,-1.0643583536148071,-0.3505830466747284,-0.17350716888904572,-1.1089876890182495,-1.8591588735580444,0.41722986102104187,-1.1066614389419556,-0.9182204604148865,0.0,0.0,0.0]","[-0.2755744159221649,0.6750442385673523,-0.8771544098854065,-1.5567320585250854,-1.4691996574401855,-0.3766453266143799,-0.20190957188606262,-1.3402003049850464,-1.9477242231369019,0.10560452938079834,-0.9560574889183044,-0.9903882741928101]"
1776857418.260707,7,"[0.051263466477394104,-0.05516888201236725,-0.9971601963043213,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.01994408294558525,0.001346372882835567,-0.010334824211895466,-5.573089947574772e-05,-0.010891278274357319,0.0026314957067370415,-0.004795147571712732,0.007288624532520771,-0.028205128386616707,0.028205128386616707,-0.07655677944421768,-0.004029304254800081,-0.023177703842520714,0.0292827058583498,-0.012087912298738956,-0.05238095298409462,0.09434075653553009,0.02014652080833912,0.02317771501839161,0.04149272292852402,-0.2755744159221649,0.6750442385673523,-0.8771544098854065,-1.5567320585250854,-1.4691996574401855,-0.3766453266143799,-0.20190957188606262,-1.3402003049850464,-1.9477242231369019,0.10560452938079834,-0.9560574889183044,-0.9903882741928101,0.0,0.0,0.0]","[-0.2905349135398865,0.7281398177146912,-0.9782989621162415,-1.5538959503173828,-1.6898761987686157,-0.3895384669303894,-0.17117665708065033,-1.4398295879364014,-1.99409019947052,-0.11620131134986877,-0.8789655566215515,-1.0343693494796753]"
1776857418.281094,8,"[0.05156259983778,-0.05588133633136749,-0.9971051812171936,0.00572401937097311,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.005178759805858135,0.007288624532520771,-0.010605805553495884,-0.036263737827539444,-0.028205128386616707,-0.012087912298738956,0.01087536383420229,0.044069696217775345,0.004029304254800081,0.004029304254800081,-0.1102733165025711,-0.04432234540581703,-0.04617076367139816,0.018315019086003304,-0.2905349135398865,0.7281398177146912,-0.9782989621162415,-1.5538959503173828,-1.6898761987686157,-0.3895384669303894,-0.17117665708065033,-1.4398295879364014,-1.99409019947052,-0.11620131134986877,-0.8789655566215515,-1.0343693494796753,0.0,0.0,0.0]","[-0.29110875725746155,0.7356985807418823,-1.0291601419448853,-1.5268080234527588,-1.8480033874511719,-0.404209166765213,-0.16518069803714752,-1.4633716344833374,-1.9911903142929077,-0.2601381838321686,-0.8235957622528076,-1.0386158227920532]"
1776857418.300329,9,"[0.051690444350242615,-0.05599585175514221,-0.9970921277999878,0.005340407602488995,-0.008774803951382637,0.004362414591014385,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007096818648278713,-0.0055966866202652454,-0.018579136580228806,-0.05238095298409462,0.028205128386616707,-0.02442002482712269,0.018315019086003304,-0.004029304254800081,-0.02014652080833912,-0.04432234540581703,0.06043956056237221,-0.007397016976028681,-0.02312801405787468,-0.29110875725746155,0.7356985807418823,-1.0291601419448853,-1.5268080234527588,-1.8480033874511719,-0.404209166765213,-0.16518069803714752,-1.4633716344833374,-1.9911903142929077,-0.2601381838321686,-0.8235957622528076,-1.0386158227920532,0.0,0.0,0.0]","[-0.2900499701499939,0.7451052069664001,-1.0314908027648926,-1.5125359296798706,-1.8997222185134888,-0.40083643794059753,-0.14739155769348145,-1.4749338626861572,-2.00366473197937,-0.3189842700958252,-0.8204120993614197,-1.0374295711517334]"
1776857418.324218,10,"[0.05195482075214386,-0.05647673457860947,-0.9970511794090271,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.01994408294558525,0.0009627611143514514,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007096818648278713,0.04432234540581703,-0.0374380499124527,0.04432234540581703,0.02014652080833912,0.0014885454438626766,0.01980356127023697,0.012087912298738956,-0.012087912298738956,-0.02014652080833912,-0.028205128386616707,0.012210012413561344,0.030525030568242073,-0.2900499701499939,0.7451052069664001,-1.0314908027648926,-1.5125359296798706,-1.8997222185134888,-0.40083643794059753,-0.14739155769348145,-1.4749338626861572,-2.00366473197937,-0.3189842700958252,-0.8204120993614197,-1.0374295711517334,0.0,0.0,0.0]","[-0.288379967212677,0.7493768334388733,-1.0332577228546143,-1.519155740737915,-1.945440649986267,-0.4068436026573181,-0.1411668360233307,-1.484941005706787,-2.0186893939971924,-0.3434649109840393,-0.8154149651527405,-1.0440597534179688]"
