time_s,step,observation,action_pre_scale
1772115454.837731,1,"[0.0031805788166821003,0.0003672831517178565,0.005784140899777412,0.0,-0.020240023732185364,0.003195793367922306,-0.014380574226379395,-0.01016139704734087,-0.9998449683189392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024175824597477913,-0.12087912112474442,0.04029304161667824,0.1369963437318802,0.04884004965424538,-0.08547008782625198,-0.024175824597477913,-0.008058608509600163,0.1369963437318802,-0.024175824597477913,-0.012210012413561344,0.02442002482712269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.040094248950481415,0.000410422682762146,0.006819756701588631,0.16864338517189026,0.19068461656570435,0.027226096019148827,0.031282901763916016,0.04350521042943001,-0.008911004289984703,0.12243050336837769,-0.1768660545349121,-0.019781725481152534]"
1772115454.857623,2,"[0.002894764766097069,0.0003147173847537488,0.006192368920892477,0.0,-0.020240023732185364,0.003195793367922306,-0.014380574226379395,-0.01016139704734087,-0.9998449683189392,0.0,0.0,-0.0003836117684841156,0.0,0.00019180565141141415,0.00019180611707270145,0.0,0.0,0.0,0.0,0.0,0.0,-0.04029304161667824,-0.08864469081163406,-0.008058608509600163,-0.04029304161667824,0.012210012413561344,0.02442002482712269,-0.008058608509600163,0.04029304161667824,0.024175824597477913,0.04029304161667824,-0.03663003817200661,0.02442002482712269,0.040094248950481415,0.000410422682762146,0.006819756701588631,0.16864338517189026,0.19068461656570435,0.027226096019148827,0.031282901763916016,0.04350521042943001,-0.008911004289984703,0.12243050336837769,-0.1768660545349121,-0.019781725481152534,0.0,0.0,0.0]","[0.05871177837252617,-0.022260520607233047,0.018358606845140457,0.21703270077705383,0.288120299577713,0.0437387153506279,0.055437058210372925,0.06089166924357414,-0.01886785589158535,0.1923978626728058,-0.29172536730766296,-0.028991427272558212]"
1772115454.878953,3,"[0.002894764766097069,0.0003147173847537488,0.006192368920892477,0.0,-0.026631610468029976,0.00532632227987051,-0.014380574226379395,-0.01016139704734087,-0.9998449683189392,-0.0003836117684841156,0.0,-0.0007672244682908058,0.0007672235369682312,-0.0003836117684841156,0.0,0.0007672235369682312,-0.0007672235369682312,0.0007672226056456566,0.00038361188489943743,0.001342641655355692,0.0005754176527261734,-0.07252747565507889,-0.008058608509600163,-0.10476190596818924,0.15311355888843536,0.061050061136484146,-0.02442002482712269,0.008058608509600163,-0.07252747565507889,0.12087912112474442,0.07252747565507889,0.13431014120578766,0.02442002482712269,0.05871177837252617,-0.022260520607233047,0.018358606845140457,0.21703270077705383,0.288120299577713,0.0437387153506279,0.055437058210372925,0.06089166924357414,-0.01886785589158535,0.1923978626728058,-0.29172536730766296,-0.028991427272558212,0.0,0.0,0.0]","[0.06910310685634613,-0.03661944344639778,0.036998920142650604,0.22077666223049164,0.3479785621166229,0.04605971276760101,0.0712440013885498,0.07015092670917511,-0.03166960924863815,0.2177174985408783,-0.3582110106945038,-0.04117574915289879]"
1772115454.898734,4,"[0.002894764766097069,0.0003147173847537488,0.006192368920892477,0.0,-0.026631610468029976,0.00532632227987051,-0.0171605683863163,-0.010160950943827629,-0.9998010993003845,-0.0003836117684841156,0.0,-0.001534448005259037,0.0015344470739364624,-0.002109864726662636,0.00019180611707270145,0.0007672235369682312,-0.0011508353054523468,0.0015344461426138878,0.00038361188489943743,0.0046033416874706745,0.0019180590752512217,0.056410256773233414,-0.056410256773233414,-0.08864469081163406,0.056410256773233414,-0.13431014120578766,0.04884004965424538,-0.07252747565507889,-0.008058608509600163,0.04029304161667824,0.024175824597477913,0.3052503168582916,0.02442002482712269,0.06910310685634613,-0.03661944344639778,0.036998920142650604,0.22077666223049164,0.3479785621166229,0.04605971276760101,0.0712440013885498,0.07015092670917511,-0.03166960924863815,0.2177174985408783,-0.3582110106945038,-0.04117574915289879,0.0,0.0,0.0]","[0.07475645840167999,-0.04545465484261513,0.056065455079078674,0.2147405743598938,0.3898701071739197,0.04578700661659241,0.08431795239448547,0.07959958910942078,-0.04255276545882225,0.22448775172233582,-0.4052237868309021,-0.05203847959637642]"
1772115454.916797,5,"[0.002894764766097069,0.0003147173847537488,0.006192368920892477,0.0,-0.026631610468029976,0.00532632227987051,-0.0171605683863163,-0.010160950943827629,-0.9998010993003845,-0.0003836117684841156,0.0003836117684841156,-0.0023016706109046936,0.0023016706109046936,-0.004027923569083214,-0.00019180576782673597,0.0011508390307426453,-0.001918058842420578,0.0015344461426138878,0.000767223653383553,0.010165713727474213,0.004027924034744501,-0.024175824597477913,-0.024175824597477913,-0.07252747565507889,0.16923077404499054,-0.10989011079072952,0.09768009930849075,0.024175824597477913,0.04029304161667824,0.15311355888843536,0.18534798920154572,0.29304030537605286,0.13431014120578766,0.07475645840167999,-0.04545465484261513,0.056065455079078674,0.2147405743598938,0.3898701071739197,0.04578700661659241,0.08431795239448547,0.07959958910942078,-0.04255276545882225,0.22448775172233582,-0.4052237868309021,-0.05203847959637642,0.0,0.0,0.0]","[0.07915307581424713,-0.05174306407570839,0.07253541052341461,0.20492680370807648,0.4234216809272766,0.04411477968096733,0.09551748633384705,0.09120352566242218,-0.05231533944606781,0.22107280790805817,-0.4466489553451538,-0.06289485096931458]"
1772115454.937869,6,"[0.002894764766097069,0.0003147173847537488,0.006192368920892477,0.0,-0.026631610468029976,0.00532632227987051,-0.0171605683863163,-0.010160950943827629,-0.9998010993003845,-0.0003836117684841156,0.0,-0.002685282379388809,0.0030688950791954994,-0.009973905980587006,0.0011508355382829905,0.0011508390307426453,-0.001918058842420578,0.0026852814480662346,0.0011508353054523468,0.014193637296557426,0.0046033416874706745,-0.1369963437318802,-0.12087912112474442,0.008058608509600163,0.18534798920154572,-0.24420024454593658,-0.061050061136484146,0.07252747565507889,0.056410256773233414,-0.07252747565507889,0.04029304161667824,0.21978022158145905,-0.012210012413561344,0.07915307581424713,-0.05174306407570839,0.07253541052341461,0.20492680370807648,0.4234216809272766,0.04411477968096733,0.09551748633384705,0.09120352566242218,-0.05231533944606781,0.22107280790805817,-0.4466489553451538,-0.06289485096931458,0.0,0.0,0.0]","[0.08000844717025757,-0.0583132766187191,0.08513911813497543,0.19583719968795776,0.4556567072868347,0.041080541908741,0.10414844751358032,0.10387575626373291,-0.06306828558444977,0.21754902601242065,-0.4849378764629364,-0.07071523368358612]"
1772115454.956731,7,"[0.002894764766097069,0.0003147173847537488,0.006192368920892477,0.0,-0.026631610468029976,0.00532632227987051,-0.0171605683863163,-0.010160950943827629,-0.9998010993003845,-0.0003836117684841156,0.0003836117684841156,-0.002685282379388809,0.003452506847679615,-0.01304280012845993,0.00038361200131475925,0.0011508390307426453,-0.001918058842420578,0.003068894147872925,0.0011508353054523468,0.01822155900299549,0.00326070049777627,-0.04029304161667824,-0.08864469081163406,-0.07252747565507889,0.12087912112474442,-0.25641027092933655,-0.07326007634401321,-0.008058608509600163,-0.024175824597477913,0.008058608509600163,0.2014652043581009,0.14652015268802643,0.03663003817200661,0.08000844717025757,-0.0583132766187191,0.08513911813497543,0.19583719968795776,0.4556567072868347,0.041080541908741,0.10414844751358032,0.10387575626373291,-0.06306828558444977,0.21754902601242065,-0.4849378764629364,-0.07071523368358612,0.0,0.0,0.0]","[0.07778170704841614,-0.06449657678604126,0.09523013234138489,0.18868672847747803,0.47959408164024353,0.03927993029356003,0.1121680736541748,0.1166224479675293,-0.07465177029371262,0.2136579304933548,-0.5179003477096558,-0.07476021349430084]"
1772115454.979872,8,"[0.00272851949557662,0.00040357373654842377,0.005732281599193811,0.0,-0.026631610468029976,0.00532632227987051,-0.0171605683863163,-0.010160950943827629,-0.9998010993003845,-0.0003836117684841156,0.0003836117684841156,-0.003068894147872925,0.004219729453325272,-0.017070725560188293,-0.0005754176527261734,0.0007672235369682312,-0.0023016706109046936,0.0034525059163570404,0.0011508353054523468,0.02263309620320797,0.0034525063820183277,0.056410256773233414,0.04029304161667824,-0.21758241951465607,-0.07252747565507889,-0.21978022158145905,-0.03663003817200661,-0.024175824597477913,-0.056410256773233414,0.008058608509600163,0.056410256773233414,0.24420024454593658,0.03663003817200661,0.07778170704841614,-0.06449657678604126,0.09523013234138489,0.18868672847747803,0.47959408164024353,0.03927993029356003,0.1121680736541748,0.1166224479675293,-0.07465177029371262,0.2136579304933548,-0.5179003477096558,-0.07476021349430084,0.0,0.0,0.0]","[0.06952057778835297,-0.07081983983516693,0.10188613831996918,0.18399032950401306,0.5010318756103516,0.03876630961894989,0.12041637301445007,0.12926605343818665,-0.08682598173618317,0.2104807198047638,-0.5473154187202454,-0.07704805582761765]"
1772115454.996957,9,"[0.00272851949557662,0.00040357373654842377,0.005732281599193811,0.0,-0.02876213937997818,0.009587380103766918,-0.020611407235264778,-0.010064440779387951,-0.9997369050979614,-0.0003836117684841156,0.0,-0.0034525059163570404,0.004603341221809387,-0.020523229613900185,-0.000959029421210289,0.0011508390307426453,-0.0023016706109046936,0.004219729453325272,0.001534447306767106,0.026661019772291183,0.00326070049777627,0.07252747565507889,-0.08864469081163406,0.024175824597477913,0.15311355888843536,-0.18315018713474274,-0.04884004965424538,0.04029304161667824,0.024175824597477913,0.08864469081163406,0.008058608509600163,0.18315018713474274,-0.07326007634401321,0.06952057778835297,-0.07081983983516693,0.10188613831996918,0.18399032950401306,0.5010318756103516,0.03876630961894989,0.12041637301445007,0.12926605343818665,-0.08682598173618317,0.2104807198047638,-0.5473154187202454,-0.07704805582761765,0.0,0.0,0.0]","[0.059523072093725204,-0.07560303807258606,0.10403305292129517,0.1777375042438507,0.5184614062309265,0.038196809589862823,0.1272079348564148,0.14072613418102264,-0.09757967293262482,0.2088286280632019,-0.5724250078201294,-0.07789566367864609]"
1772115455.016543,10,"[0.00272851949557662,0.00040357373654842377,0.005732281599193811,0.0,-0.02876213937997818,0.009587380103766918,-0.020611407235264778,-0.010064440779387951,-0.9997369050979614,-0.0003836117684841156,0.0003836117684841156,-0.003836117684841156,0.005370564758777618,-0.024551155045628548,-0.0011508354218676686,0.0007672235369682312,-0.0023016706109046936,0.004986952990293503,0.001534447306767106,0.02877088636159897,0.0015344470739364624,0.008058608509600163,-0.008058608509600163,0.008058608509600163,0.21758241951465607,-0.17094017565250397,0.03663003817200661,0.008058608509600163,-0.04029304161667824,0.07252747565507889,0.10476190596818924,0.061050061136484146,-0.02442002482712269,0.059523072093725204,-0.07560303807258606,0.10403305292129517,0.1777375042438507,0.5184614062309265,0.038196809589862823,0.1272079348564148,0.14072613418102264,-0.09757967293262482,0.2088286280632019,-0.5724250078201294,-0.07789566367864609,0.0,0.0,0.0]","[0.04816510155797005,-0.07991872727870941,0.10591516643762589,0.17230337858200073,0.5317434072494507,0.03739340230822563,0.134977787733078,0.1505391001701355,-0.10827232897281647,0.2064688503742218,-0.5927855968475342,-0.07683517038822174]"
